"","sim","N"
"1","Exact Stochastic IbM (simulations)",496
"2","Exact Stochastic IbM (simulations)",541
"3","Exact Stochastic IbM (simulations)",474
"4","Exact Stochastic IbM (simulations)",494
"5","Exact Stochastic IbM (simulations)",487
"6","Exact Stochastic IbM (simulations)",508
"7","Exact Stochastic IbM (simulations)",499
"8","Exact Stochastic IbM (simulations)",522
"9","Exact Stochastic IbM (simulations)",488
"10","Exact Stochastic IbM (simulations)",551
"11","Exact Stochastic IbM (simulations)",457
"12","Exact Stochastic IbM (simulations)",483
"13","Exact Stochastic IbM (simulations)",561
"14","Exact Stochastic IbM (simulations)",532
"15","Exact Stochastic IbM (simulations)",504
"16","Exact Stochastic IbM (simulations)",503
"17","Exact Stochastic IbM (simulations)",510
"18","Exact Stochastic IbM (simulations)",455
"19","Exact Stochastic IbM (simulations)",533
"20","Exact Stochastic IbM (simulations)",486
"21","Exact Stochastic IbM (simulations)",478
"22","Exact Stochastic IbM (simulations)",488
"23","Exact Stochastic IbM (simulations)",482
"24","Exact Stochastic IbM (simulations)",512
"25","Exact Stochastic IbM (simulations)",487
"26","Exact Stochastic IbM (simulations)",460
"27","Exact Stochastic IbM (simulations)",469
"28","Exact Stochastic IbM (simulations)",482
"29","Exact Stochastic IbM (simulations)",453
"30","Exact Stochastic IbM (simulations)",464
"31","Exact Stochastic IbM (simulations)",460
"32","Exact Stochastic IbM (simulations)",523
"33","Exact Stochastic IbM (simulations)",492
"34","Exact Stochastic IbM (simulations)",517
"35","Exact Stochastic IbM (simulations)",509
"36","Exact Stochastic IbM (simulations)",537
"37","Exact Stochastic IbM (simulations)",464
"38","Exact Stochastic IbM (simulations)",537
"39","Exact Stochastic IbM (simulations)",489
"40","Exact Stochastic IbM (simulations)",544
"41","Exact Stochastic IbM (simulations)",519
"42","Exact Stochastic IbM (simulations)",474
"43","Exact Stochastic IbM (simulations)",428
"44","Exact Stochastic IbM (simulations)",566
"45","Exact Stochastic IbM (simulations)",526
"46","Exact Stochastic IbM (simulations)",516
"47","Exact Stochastic IbM (simulations)",511
"48","Exact Stochastic IbM (simulations)",477
"49","Exact Stochastic IbM (simulations)",452
"50","Exact Stochastic IbM (simulations)",501
"51","Exact Stochastic IbM (simulations)",526
"52","Exact Stochastic IbM (simulations)",497
"53","Exact Stochastic IbM (simulations)",484
"54","Exact Stochastic IbM (simulations)",543
"55","Exact Stochastic IbM (simulations)",523
"56","Exact Stochastic IbM (simulations)",515
"57","Exact Stochastic IbM (simulations)",505
"58","Exact Stochastic IbM (simulations)",503
"59","Exact Stochastic IbM (simulations)",500
"60","Exact Stochastic IbM (simulations)",487
"61","Exact Stochastic IbM (simulations)",496
"62","Exact Stochastic IbM (simulations)",496
"63","Exact Stochastic IbM (simulations)",535
"64","Exact Stochastic IbM (simulations)",484
"65","Exact Stochastic IbM (simulations)",499
"66","Exact Stochastic IbM (simulations)",444
"67","Exact Stochastic IbM (simulations)",498
"68","Exact Stochastic IbM (simulations)",447
"69","Exact Stochastic IbM (simulations)",487
"70","Exact Stochastic IbM (simulations)",521
"71","Exact Stochastic IbM (simulations)",522
"72","Exact Stochastic IbM (simulations)",479
"73","Exact Stochastic IbM (simulations)",489
"74","Exact Stochastic IbM (simulations)",471
"75","Exact Stochastic IbM (simulations)",532
"76","Exact Stochastic IbM (simulations)",434
"77","Exact Stochastic IbM (simulations)",515
"78","Exact Stochastic IbM (simulations)",548
"79","Exact Stochastic IbM (simulations)",504
"80","Exact Stochastic IbM (simulations)",500
"81","Exact Stochastic IbM (simulations)",487
"82","Exact Stochastic IbM (simulations)",537
"83","Exact Stochastic IbM (simulations)",510
"84","Exact Stochastic IbM (simulations)",541
"85","Exact Stochastic IbM (simulations)",443
"86","Exact Stochastic IbM (simulations)",499
"87","Exact Stochastic IbM (simulations)",510
"88","Exact Stochastic IbM (simulations)",459
"89","Exact Stochastic IbM (simulations)",516
"90","Exact Stochastic IbM (simulations)",586
"91","Exact Stochastic IbM (simulations)",472
"92","Exact Stochastic IbM (simulations)",518
